search_term,country,location,author_name,author_title,author_url,post_url,post_text,post_date,scraped_date
BIM Coordinator,United States,USA,N/A,"Recruitment consultant at Foster + Partners
Recruitment consultant at Foster + Partners",https://www.linkedin.com/in/kara-williams-8a9012176,N/A,"🚀 We’re hiring in Singapore!

Foster + Partners is seeking a BIM & Design Systems Coordinator to join our award-winning team.

This key role will see you lead BIM delivery across projects, mentor teams, and ensure excellence in Revit, workflows, and project documentation.

✅ Strong Revit (Architecture) skills essential
 ✅ Previous experience as a BIM Coordinator on large-scale projects
 ✅ Knowledge of Navisworks, Dynamo, Rhino, Grasshopper, BIM360 + more

📍 Singapore 

Apply now with your CV + p","4 días 
 
hace 4 días",2025-08-31 20:13:41
BIM Coordinator,United States,EEUU,N/A,"Nordic Cluster Operating Unit Manager at Hitachi Energy - Grid and Power Quality & Service Solutions
Nordic Cluster Operating Unit Manager at Hitachi Energy - Grid and Power Quality & Service Solutions",https://www.linkedin.com/in/anderszittra,N/A,"Join our Nordic team as a BIM Coordinator!
We're seeking a BIM Coordinator that will in close co-operation with customers and other Hitachi Energy teams collaborate on digital design processes in our substation and power distribution projects. If you're passionate about Building Information Modeling and thrive in a dynamic, cross-functional environment, we’d love to hear from you. Bring your expertise in BIM tools and coordination and join us in shaping the sustainable future!

https://lnkd.in/d","3 semanas 
 
hace 3 semanas",2025-08-31 20:13:41
BIM Coordinator,United States,United States,N/A,"PE, C.Eng, AMIE (IEI) | Expert in Cold-Formed Steel Design & Construction | Senior Structural Engineer | Driving Innovative & Sustainable Structural Solutions
PE, C.Eng, AMIE (IEI) | Expert in Cold-Formed Steel Design & Construction | Senior Structural Engineer | Driving Innovative & Sustainable Structural Solutions",https://www.linkedin.com/in/akhileshmore1,N/A,We are hiring at Mulk Holdings FZC: Senior BIM Coordinator,"3 semanas 
 
hace 3 semanas",2025-08-31 20:14:42
BIM Coordinator,United States,Estados Unidos,N/A,"28.213 seguidores
28.213 seguidores",https://www.linkedin.com/company/tutor-perini-corporation/posts,N/A,"We’re 
hashtag
#hiring a new BIM Coordinator in Mount Vernon, New York. Apply today or share this post with your network.","1 semana 
 
hace 1 semana",2025-08-31 20:14:42
BIM Coordinator,United States,USA,N/A,"Creando publicaciones diarias de BIM #DiaryofaBIMCoordinator | BIM Professional | CEO Enginia BIM Engineering
Creando publicaciones diarias de BIM #DiaryofaBIMCoordinator | BIM Professional | CEO Enginia BIM Engineering",https://www.linkedin.com/in/bim-engineer-ingrid-sanchez-gomez,N/A,"Diary of a BIM Coordinator 
𝗗𝗼𝗻’𝘁 W𝗼𝗿𝗸 𝗶𝗻 𝗕𝗜𝗠 𝗜𝗳…⁣
Don’t work in BIM if you don’t like asking questions.⁣
If you prefer to avoid conflict rather than face it during coordination.⁣
If it makes you uncomfortable when others see your mistakes… or if you’re not willing to grow from them.⁣
⁣
BIM isn’t just about making pretty models.⁣
It’s about communicating, questioning, sharing, coordinating, failing… and trying again.⁣
⁣
BIM is an environment that forces you to think in terms of teams, processes,","3 semanas 
 
hace 3 semanas",2025-08-31 20:14:42
BIM Specialist,United States,EEUU,N/A,"Digital & BIM Landscape Lead at Dar, LEED Green Associate
Digital & BIM Landscape Lead at Dar, LEED Green Associate",https://www.linkedin.com/in/giuliana-santos-87235785,N/A,"🚨 We're Hiring #2!🚨 
 
📍 Location: Cairo - Smart Village
💼 Role: Senior BIM Specialist - Landscape Architecture

Exciting opportunity to join our team and work on innovative landscape architecture projects 🌿
We're looking for a passionate and skilled professional to collaborate on high-impact designs, contribute to BIM deliverables, and help shape sustainable environments. If you're ready to bring creativity, precision, and purpose to your work, this role is for you!

Please don't hesitate to re","5 horas 
 
hace 5 horas",2025-08-31 20:16:23
BIM Specialist,United States,United States,N/A,"Hiring at all Levels | Sr. Executive Talent Acquisition | Winjit Technologies Pvt. Ltd. (A Schneider Electric - RIB Group Company)
Hiring at all Levels | Sr. Executive Talent Acquisition | Winjit Technologies Pvt. Ltd. (A Schneider Electric - RIB Group Company)",https://www.linkedin.com/in/swapnil-vanam,N/A,"We’re Hiring: Technical Lead – (BIM Specialist)
Winjit Technologies Pvt Ltd | A RIB Software SE Company is looking for a BIM Specialist / Senior Development Lead to drive innovation in RIB 4.0, our cutting-edge 5D BIM enterprise platform that’s transforming the construction industry.

Location: Nashik / Pune
Experience: 8–12 years | Full-time

We’re seeking a tech leader with strong expertise in C#, .NET, SQL, Azure, Angular/Typescript, and proven experience in BIM/5D technologies. If you’re pas","1 semana 
 
hace 1 semana",2025-08-31 20:16:24
BIM Specialist,United States,USA,N/A,"Profesional de Recursos Humanos | Apasionado por la Cultura, el Crecimiento y las Personas
Profesional de Recursos Humanos | Apasionado por la Cultura, el Crecimiento y las Personas",https://www.linkedin.com/in/ignasars,N/A,"LATAM CANDIDATES
We are looking for BIM MEP Specialists and BIM MEP Leaders to join our team at ENG.

I’ve been working at ENG for over a year, and I can personally vouch for the way we operate:
 ✅ 100% remote
 ✅ Genuine flexibility (no policy for PTO)
 ✅ A culture built on trust, ownership, and professional growth

What we’re looking for:
 🔹 Strong Revit and Navisworks skills
 🔹 Solid background in MEP (Mechanical & Plumbing)
 🔹 Experience in US projects is a strong plus
 🔹 Upper-Intermediate E","1 semana 
 
hace 1 semana",2025-08-31 20:16:24
BIM Specialist,United States,Estados Unidos,N/A,"BIM/VDC Specialist | Civil Engineer | Project Management
BIM/VDC Specialist | Civil Engineer | Project Management",https://www.linkedin.com/in/ludmylla-barbosa-102891150,N/A,"Ready to elevate your BIM career?
 Join us at ENG and take your skills to the next level! If you have experience in MEP projects and expertise in Revit & Navisworks, this could be your next opportunity.
💼 Open Roles:
 ⚡ LATAM Electrical Job Captain
 ⚡ US Electrical VDC Coordinator
 ⚡ Mechanical BIM Specialist
 ⚡ Electrical BIM Specialist
 ⚡ LATAM Mechanical Job Captain


✨ Work from anywhere
💬 Message me here for more info – let’s connect!","2 semanas 
 
hace 2 semanas",2025-08-31 20:16:32
BIM Specialist,United States,United States,N/A,"25.765 seguidores
25.765 seguidores",https://www.linkedin.com/school/bim-cafe/posts,N/A,"🔑 Unlock Your BIM Career Path: A Step-by-Step Roadmap
Ready to transform your passion into a fulfilling career? Whether you're an architect, civil engineer, or MEP designer, the path to becoming a BIM Specialist starts here. 
Our latest blog walks you through mastering Revit, streamlining workflows with Dynamo, coordinating efficiently using Navisworks, and building a standout portfolio. 
Read here ...
.
.
.

hashtag
#BIMSpecialist 
hashtag
#BIMCareer 
hashtag
#BIMRoadmap 
hashtag
#Revit 
hashta","1 semana 
 
hace 1 semana",2025-08-31 20:16:32
BIM Specialist,United States,United States,N/A,"4.008 seguidores
4.008 seguidores",https://www.linkedin.com/company/rootsbim/posts,N/A,"🚨 Hiring Alert – MEPF BIM Specialist (1–3 Years) 
We're on the lookout for a sharp, detail-driven MEPF BIM Specialist to join our growing team! 
🔧 Must-Have Skills: Revit, AutoCAD, Navisworks 
📍 Experience: 1–3 years 
🔹 A keen eye for detail and coordination 
⚡ Passion for precision. Ready to learn. Hungry to grow. 
📍 Location: Remote 
If you're passionate about MEPF design, ready to learn fast, and want to work on high-impact projects — we want you on our team! 
Ready to build the future with u","3 semanas 
 
hace 3 semanas",2025-08-31 20:16:32
BIM Specialist,United States,Estados Unidos,N/A,"Talent Acquisition @ The BIM Engineers | MBA | Bridge between talented people and right opportunities
Talent Acquisition @ The BIM Engineers | MBA | Bridge between talented people and right opportunities",https://www.linkedin.com/in/komal-goel-ba532b230,N/A,"💡 Dream big, build bigger!

Looking to grow your BIM career? Join us on 30th Aug at Gurugram & Chennai.
✅ Open roles: BIM Specialist & Design Engineer (3+ yrs)
🗓️ 30th Aug | 9 AM – 4 PM

🚀 Don’t just work—build the future with us!

Join us on this journey of growth and success. If you’re ready to take your career to the next level, don’t miss this opportunity!

📩 For more details, reach out:
Komal Goel | HR – The BIM Engineers
📧 komal@thebimengineers.com | 📞 +91 88829 27539


hashtag
#Hiring 
ha","5 días 
 
hace 5 días",2025-08-31 20:17:33
BIM Specialist,United States,United States,N/A,"BIM Specialist
BIM Specialist",https://www.linkedin.com/in/maria-emilia-chena-a4952b7b,N/A,"🚀 Join the ENG Team – August Career Opportunities! 🚀
Ready to take the next step in your professional journey? At ENG, we’re growing and looking for passionate, talented professionals to join our global team! 🌟
We’re hiring for:
 🔌 Electrical BIM Specialist
 🛠️ Mechanical BIM Specialist
 📐 LATAM Mechanical Job Captain
 💡 LATAM Electrical Job Captain
 ⚡ US Electrical VDC Coordinator
Why ENG?
 🌍 100% Remote-Friendly
 📌 Opportunities for US & LATAM talent
 🤝 Collaborative, innovative, and growth-dr","2 semanas 
 
hace 2 semanas",2025-08-31 20:17:33
BIM Designer,United States,Estados Unidos,N/A,"Recruitment Consultant | Specialist in placing Civil and Structural Design Engineers across the Construction Industry in the EU Market
Recruitment Consultant | Specialist in placing Civil and Structural Design Engineers across the Construction Industry in the EU Market",https://www.linkedin.com/in/sam-carson-05b08b19b,N/A,"Attention Construction BIM Professionals 

 WANTED – BIM Designer – Austria - Long term Contract

 We’re searching for a skilled BIM Designer to join our Digital Engineering team and help lead the implementation of BIM workflows across international construction projects.

 If you have experience with Revit, a passion for construction technology, and want to be part of an innovative, global company, get in touch now to learn more

Apply Below, or reach out to me directly sam.carson@g2recruitment","3 semanas 
 
hace 3 semanas",2025-08-31 20:18:09
BIM Designer,United States,United States,N/A,"Problem Solver | Structural Engineer | Manufacturing Market Sector Leader | Lifelong Learner
Problem Solver | Structural Engineer | Manufacturing Market Sector Leader | Lifelong Learner",https://www.linkedin.com/in/bikash-sigdel,N/A,"**We are hiring** 
Tamarack Grove Engineering is looking for a Structural BIM Designer at our Meridian, ID and Lyndhurst, NJ locations.

If you or someone you know has a passion for structural design and 5+ years of experience with Revit and AutoCAD, we’d love to hear from you!

Please check out our website or email Celeste Sweet, PHR @celeste.sweet@tamarackgrove.com.

Join us and help build amazing projects!

hashtag
#StructuralEngineering 
hashtag
#BIMDesigner 
hashtag
#Revit 
hashtag
#AutoCAD","1 semana 
 
hace 1 semana",2025-08-31 20:18:09
BIM Designer,United States,USA,N/A,"Area Site Civil Business Class Lead at HDR
Area Site Civil Business Class Lead at HDR",https://www.linkedin.com/in/chris-cain-79375a7,N/A,We're looking for BIM designers to assist on site civil projects. Check out what HDR has to offer and join me at an awesome employee-owned firm. We need both early career and senior BIM staff to be part of our growing team! See post below or the Sr. BIM post here: https://lnkd.in/gTnyP2VP,"4 semanas 
 
hace 0 meses",2025-08-31 20:18:10
BIM Designer,United States,United States,N/A,"BIM Professional | BIM Consulting | Digital Twin | Scan to BIM | BIM Manager | Project Management | Transforming Construction Projects with Advanced Technology
BIM Professional | BIM Consulting | Digital Twin | Scan to BIM | BIM Manager | Project Management | Transforming Construction Projects with Advanced Technology",https://www.linkedin.com/in/vishal-rajput-72104314,N/A,"🚀 AI + BIM: The Future of Smarter, Faster Projects

The construction and design world is changing fast. BIM has already reshaped how we plan, coordinate, and deliver projects—but the arrival of AI is taking things up a notch. From generative design to predictive scheduling and real-time cost tracking, the synergy between BIM and AI is shifting the industry from reactive problem-solving to proactive planning.

It’s not without challenges—skills, costs, and data security all need attention—but the","2 semanas 
 
hace 2 semanas",2025-08-31 20:18:41
BIM Designer,United States,EEUU,N/A,"382 seguidores
382 seguidores",https://www.linkedin.com/company/dhatu-consulting-services/posts,N/A,"JOB POSITION: BIM ARCHITECTURAL DESIGNER 

Role Description:
We are seeking a skilled 
hashtag
#BIMArchitectural Designer to join our team at DHATU GROUP. As a BIM Architect, you will be responsible for designing and coordinating the ARCHITECTURAL CONCEPTUAL PLANS, RENDERINGS AND DOCUMENTATION for our diverse range of projects. This is a full-time position and the opportunity to work with a dynamic team of professionals in the AEC industry. 

Job Type: full-time. 

Qualifications: 
• Bachelors D","6 días 
 
hace 6 días",2025-08-31 20:18:50
BIM Designer,United States,United States,N/A,"Recruitment Consultant at Vivid Resourcing | Hiring Engineering Experts across Belgium and Europe
Recruitment Consultant at Vivid Resourcing | Hiring Engineering Experts across Belgium and Europe",https://www.linkedin.com/in/ben-mcmeekin,N/A,"BIM Designer (Revit – HVAC) – Ghent

Start: 1st September
Contract: Freelance – 6 months (Initial) 
Interviews: Thursday morning next week
Language: Dutch / French / English – dual is a plus
Environment: Hospital, university, industrial bakery

I’m hiring for a key Revit-based HVAC role in Ghent. You’ll be working on a mix of complex environments – hospital, university, and food-grade (industrial bakery) – so past exposure to one or more of those is ideal.

Full-time (Mon–Fri), strong coordinati","3 semanas 
 
hace 3 semanas",2025-08-31 20:18:50
BIM Designer,United States,USA,N/A,"89 seguidores
89 seguidores",https://www.linkedin.com/company/creative-cadd/posts,N/A,"🏗 Build Your Future with the Best Architecture BIM Course in Hyderabad 🏙
Want to become a skilled Architecture BIM professional? At Creative CADD, Hyderabad’s #1 Training Institute, we offer the Best Architecture BIM Course in Hyderabad with 100% Placement Assistance to help you land your dream job.

💡 Why Choose Us?
 ✔ ISO Certification for industry credibility
 ✔ Hands-on, Industry-Relevant Training
 ✔ Dedicated Placement Training & Guidance
 ✔ 100% Placement Assistance

🎯 Whether you are a st","2 semanas 
 
hace 2 semanas",2025-08-31 20:19:05
BIM Designer,United States,Estados Unidos,N/A,"SPG Engineering Manager (HVAC & Plumbing)
SPG Engineering Manager (HVAC & Plumbing)",https://www.linkedin.com/in/austinhanks,N/A,"Come join our great team. We're hiring: https://lnkd.in/gHxqsahw
BIM Designer / Drafting Engineer
Director of Business Development
Accounting & Administrative Assistant","1 semana 
 
hace 1 semana",2025-08-31 20:19:05
Building Information Modeling,Mexico,Mexico,N/A,"Structures Department Manager, Kiewit
Structures Department Manager, Kiewit",https://www.linkedin.com/in/elias-tavera-81485b40,N/A,"Iniciamos próximamente el Diplomado en Metodología BIM para la Construcción.

Universidad La Salle México:

📅 Obtén los conocimientos necesarios para comprender y aplicar los avances más recientes de la metodología BIM (Building Information Modeling) en la industria de la construcción, desde las etapas de diseño, construcción, operación y mantenimiento.
📌 Duración: 120 horas · 100% en línea
 🗓️ Inicio: 3 de octubre 2025
 🕔 Horario: Viernes 17:00–21:00 · Sábados 9:00–13:00
🔗 Inscripciones abierta","14 horas 
 
hace 14 horas",2025-08-31 21:31:39
